Month,Year,Rainfall,WPI
4,2012,47.5,107.7
5,2012,31.7,109.3
6,2012,117.8,107
7,2012,250.2,113.9
8,2012,262.4,120.7
9,2012,193.5,121.7
10,2012,58.7,114.8
11,2012,30.7,120.4
12,2012,11.7,127.7
1,2013,11.3,131.6
2,2013,40.1,132.7
3,2013,15.7,132.5
4,2013,30.4,136.4
5,2013,57.8,137.6
6,2013,219.8,136.9
7,2013,310,135.3
8,2013,254.7,131
9,2013,152.7,130.9
10,2013,129.4,129.7
11,2013,14,129.5
12,2013,6.7,131.1
1,2014,19.2,132.3
2,2014,27.4,131.5
3,2014,36.1,133.6
4,2014,22.2,134.4
5,2014,72.9,134.6
6,2014,95.4,132.5
7,2014,261.2,134.4
8,2014,237.5,133.2
9,2014,188,133.9
10,2014,60.2,129.3
11,2014,14.4,125.6
12,2014,10.7,123.9
1,2015,17.4,125
2,2015,21,123.2
3,2015,62,124.8
4,2015,69.4,127.3
5,2015,53.8,126.7
6,2015,192.8,125.2
7,2015,242.4,124.3
8,2015,205.2,127.4
9,2015,131.8,132.2
10,2015,42.9,132.7
11,2015,39.4,135.3
12,2015,15,139.2
1,2016,19.3,142.9
2,2016,22.8,144.2
3,2016,27.6,147.7
4,2016,37.4,155.8
5,2016,62.6,162.6
6,2016,168.3,158.7
7,2016,289.1,159.6
8,2016,256.3,159.3
9,2016,171.9,155.1
10,2016,76.1,148.1
11,2016,29.7,151
12,2016,14.9,154.7
1,2017,19,151.9
2,2017,22.6,151.3
3,2017,27.8,152.6
4,2017,37.9,153.8
5,2017,62.4,153.2
6,2017,168.1,149.7
7,2017,289.3,145.4
8,2017,256.2,143.8
9,2017,171.5,139.4
10,2017,76.3,132.9
11,2017,29.9,130.2
12,2017,15,133.9
1,2018,19.2,131.7
2,2018,20.1,127.9
3,2018,27.1,126.8
4,2018,40.2,127
5,2018,62.7,128.1
6,2018,165,129.5
7,2018,286.3,132.9
8,2018,254.3,138.2
9,2018,171.9,141.7
10,2018,77.2,148.6
11,2018,28.1,161.7
1,2018,2.9,131.7
2,2018,12.7,127.9
3,2018,16.5,126.8
4,2018,39.3,127
5,2018,64.4,128.1
6,2018,155.7,129.5
7,2018,274.1,132.9
8,2018,240.2,138.2
9,2018,132.7,141.7
10,2018,35.6,148.6
11,2018,21,161.7
12,2018,14.7,165.1
1,2019,18.5,171.2
2,2019,33.1,178.3
3,2019,18.7,182
4,2019,31.5,188
5,2019,51.3,194.7
6,2019,113.5,195.3
7,2019,298.8,199.6
8,2019,299.9,200.4
9,2019,259.5,195.9
10,2019,110.1,184.9
11,2019,31.6,188.4
12,2019,19.2,194.7
1,2020,28.3,201.6
2,2020,12.1,193.7
3,2020,44.7,187.5
4,2020,42.7,188.9
5,2020,71.8,185
6,2020,195.6,176.1
7,2020,257.1,167.3
8,2020,327.8,161.1
9,2020,178,155.7
10,2020,78.3,155.4
11,2020,29.2,154.2
12,2020,17,150
1,2021,20.2,148.3
2,2021,7.6,145.7
3,2021,16.7,146.9
4,2021,31.1,146.6
5,2021,107.8,149.1
6,2021,182.4,150.1
7,2021,266.2,153.9
8,2021,196.3,161.1
9,2021,229.6,166.4
10,2021,100.8,164.8
11,2021,56.5,172.6
12,2021,20.5,183.4
1,2022,39.5,183.2
2,2022,19.1,187.7
3,2022,8.9,196.4
4,2022,38.2,205.4
5,2022,83.2,209.3
6,2022,152.2,207
7,2022,327.2,208
8,2022,264,214.3
9,2022,181.4,212.8
10,2022,111.8,201.5
11,2022,18.6,209.7
12,2022,13.6,219.2
1,2023,7.2,224.1
2,2023,19.7,219.6
3,2023,25.4,225.1
4,2023,31.4,229.6
5,2023,66.5,229.4
6,2023,250,226.7
7,2023,305.4,226.9
8,2023,293.9,225.9
9,2023,187.3,225.7
10,2023,75.7,231.5
11,2023,13.5,238.5
12,2023,27.6,246.6
1,2024,16.2,246.2
2,2024,18.1,242.8
3,2024,30.9,239.9
4,2024,41.4,238
5,2024,71.8,240.4
6,2024,151.1,239.6
7,2024,315.9,241
8,2024,162.7,245.2
9,2024,190,246.7
10,2024,71.3,248.7
11,2024,16.5,252.2
12,2024,3.4,255.1
