Month,Year,Rainfall,WPI
4,2012,47.5,112.5
5,2012,31.7,114
6,2012,117.8,113.9
7,2012,250.2,116.7
8,2012,262.4,122.9
9,2012,193.5,122
10,2012,58.7,121.5
11,2012,30.7,121.9
12,2012,11.7,125.8
1,2013,11.3,128.7
2,2013,40.1,125.3
3,2013,15.7,121.1
4,2013,30.4,124.7
5,2013,57.8,122.2
6,2013,219.8,115.8
7,2013,310,110.3
8,2013,254.7,106.2
9,2013,152.7,107.1
10,2013,129.4,107.6
11,2013,14,104.7
12,2013,6.7,100.4
1,2014,19.2,100.7
2,2014,27.4,99.4
3,2014,36.1,99.3
4,2014,22.2,100.4
5,2014,72.9,103.9
6,2014,95.4,102.5
7,2014,261.2,103.5
8,2014,237.5,106.3
9,2014,188,109.8
10,2014,60.2,109
11,2014,14.4,106.5
12,2014,10.7,105
1,2015,17.4,110
2,2015,21,111.1
3,2015,62,115
4,2015,69.4,119.7
5,2015,53.8,127.3
6,2015,192.8,135.7
7,2015,242.4,133.1
8,2015,205.2,134.8
9,2015,131.8,136.1
10,2015,42.9,122.3
11,2015,39.4,122.4
12,2015,15,126
1,2016,19.3,123.3
2,2016,22.8,124.6
3,2016,27.6,128.9
4,2016,37.4,139.1
5,2016,62.6,143.4
6,2016,168.3,146.1
7,2016,289.1,150
8,2016,256.3,145.5
9,2016,171.9,140.3
10,2016,76.1,132.3
11,2016,29.7,126.4
12,2016,14.9,131.5
1,2017,19,134.1
2,2017,22.6,132.4
3,2017,27.8,137.7
4,2017,37.9,139.8
5,2017,62.4,136.2
6,2017,168.1,133.2
7,2017,289.3,127.6
8,2017,256.2,124.3
9,2017,171.5,118
10,2017,76.3,116.9
11,2017,29.9,117
12,2017,15,113.9
1,2018,19.2,113.4
2,2018,20.1,114.9
3,2018,27.1,114.3
4,2018,40.2,109.6
5,2018,62.7,107.5
6,2018,165,109.7
7,2018,286.3,112.4
8,2018,254.3,119.9
9,2018,171.9,118.2
10,2018,77.2,118.8
11,2018,28.1,125.3
12,2018,14.1,122.6
1,2019,18.5,123.8
2,2019,33.1,125.2
3,2019,18.7,126.8
4,2019,31.5,129.5
5,2019,51.3,134.5
6,2019,113.5,140.3
7,2019,298.8,147.1
8,2019,299.9,149.6
9,2019,259.5,150.2
10,2019,110.1,148.8
11,2019,31.6,140.6
12,2019,19.2,137.3
1,2020,28.3,139
2,2020,12.1,142.7
3,2020,44.7,149.8
4,2020,42.7,155.8
5,2020,71.8,157.7
6,2020,195.6,158.8
7,2020,257.1,156.5
8,2020,327.8,154.2
9,2020,178,145.5
10,2020,78.3,145.1
11,2020,29.2,146.3
12,2020,17,149.1
1,2021,20.2,156.4
2,2021,7.6,162.1
3,2021,16.7,170.4
4,2021,31.1,167.7
5,2021,107.8,163.4
6,2021,182.4,163.3
7,2021,266.2,160
8,2021,196.3,161.9
9,2021,229.6,162.9
10,2021,100.8,160.4
11,2021,56.5,163.6
12,2021,20.5,165.3
1,2022,39.5,167.3
2,2022,19.1,165.7
3,2022,8.9,169.1
4,2022,38.2,171.2
5,2022,83.2,174.3
6,2022,152.2,171
7,2022,327.2,172
8,2022,264,175.3
9,2022,181.4,175.2
10,2022,111.8,175.2
11,2022,18.6,176.6
12,2022,13.6,181.6
1,2023,7.2,189.7
2,2023,19.7,198.3
3,2023,25.4,197.4
4,2023,31.4,197.8
5,2023,66.5,196.8
6,2023,250,200.1
7,2023,305.4,203.9
8,2023,293.9,203
9,2023,187.3,201
10,2023,75.7,201.1
11,2023,13.5,197.7
12,2023,27.6,200.7
1,2024,16.2,195.9
2,2024,18.1,190.4
3,2024,30.9,189.5
4,2024,41.4,187.7
5,2024,71.8,189.9
6,2024,151.1,185.5
7,2024,315.9,182.2
8,2024,162.7,180
9,2024,190,176.7
10,2024,71.3,175.8
11,2024,16.5,177.5
12,2024,3.4,175.7
