Month,Year,Rainfall,WPI
4,2012,47.5,98.3
5,2012,31.7,98.2
6,2012,117.8,97
7,2012,250.2,93.7
8,2012,262.4,96.2
9,2012,193.5,97.2
10,2012,58.7,95.5
11,2012,30.7,95.6
12,2012,11.7,95
1,2013,11.3,95.2
2,2013,40.1,97.9
3,2013,15.7,101.9
4,2013,30.4,101.7
5,2013,57.8,99.5
6,2013,219.8,97.7
7,2013,310,99.5
8,2013,254.7,94.5
9,2013,152.7,98
10,2013,129.4,98.4
11,2013,14,99.5
12,2013,6.7,100.8
1,2014,19.2,100.8
2,2014,27.4,103
3,2014,36.1,111.3
4,2014,22.2,115.7
5,2014,72.9,112.8
6,2014,95.4,113.9
7,2014,261.2,120.7
8,2014,237.5,116.1
9,2014,188,115
10,2014,60.2,117
11,2014,14.4,115.3
12,2014,10.7,110.3
1,2015,17.4,119.2
2,2015,21,119.6
3,2015,62,114.4
4,2015,69.4,111.3
5,2015,53.8,117.4
6,2015,192.8,115.7
7,2015,242.4,110.7
8,2015,205.2,108.4
9,2015,131.8,108.4
10,2015,42.9,114.4
11,2015,39.4,113.4
12,2015,15,119.2
1,2016,19.3,115.4
2,2016,22.8,116.1
3,2016,27.6,115.8
4,2016,37.4,115.5
5,2016,62.6,118.7
6,2016,168.3,120.9
7,2016,289.1,120.1
8,2016,256.3,121.4
9,2016,171.9,124
10,2016,76.1,121.9
11,2016,29.7,123.2
12,2016,14.9,127.8
1,2017,19,132.3
2,2017,22.6,136
3,2017,27.8,132.1
4,2017,37.9,131.6
5,2017,62.4,130.5
6,2017,168.1,126.9
7,2017,289.3,126.3
8,2017,256.2,124.5
9,2017,171.5,126.1
10,2017,76.3,123.3
11,2017,29.9,118.5
12,2017,15,121.3
1,2018,19.2,118.3
2,2018,20.1,115.9
3,2018,27.1,118.1
4,2018,40.2,118
5,2018,62.7,117
6,2018,165,119.3
7,2018,286.3,119.6
8,2018,254.3,121.9
9,2018,171.9,121.4
10,2018,77.2,125.8
11,2018,28.1,137.7
12,2018,14.1,142.3
1,2019,18.5,143
2,2019,33.1,146.6
3,2019,18.7,150.4
4,2019,31.5,150.9
5,2019,51.3,151.1
6,2019,113.5,151.2
7,2019,298.8,157.6
8,2019,299.9,163.6
9,2019,259.5,160
10,2019,110.1,159.6
11,2019,31.6,165
12,2019,19.2,173.2
1,2020,28.3,177.1
2,2020,12.1,165.6
3,2020,44.7,158.2
4,2020,42.7,159.1
5,2020,71.8,164.7
6,2020,195.6,161.3
7,2020,257.1,157.5
8,2020,327.8,154.3
9,2020,178,148
10,2020,78.3,147.8
11,2020,29.2,155.2
12,2020,17,154.6
1,2021,20.2,151.9
2,2021,7.6,148.7
3,2021,16.7,149
4,2021,31.1,150.5
5,2021,107.8,148.8
6,2021,182.4,144.7
7,2021,266.2,142.6
8,2021,196.3,140.3
9,2021,229.6,138.4
10,2021,100.8,136.8
11,2021,56.5,135.4
12,2021,20.5,136.4
1,2022,39.5,142.7
2,2022,19.1,148.9
3,2022,8.9,153.9
4,2022,38.2,161.9
5,2022,83.2,162.7
6,2022,152.2,161.7
7,2022,327.2,167
8,2022,264,171.7
9,2022,181.4,172.9
10,2022,111.8,166.1
11,2022,18.6,183.6
12,2022,13.6,192.8
1,2023,7.2,204
2,2023,19.7,208.8
3,2023,25.4,208.3
4,2023,31.4,208
5,2023,66.5,209.2
6,2023,250,219.6
7,2023,305.4,224.4
8,2023,293.9,222.9
9,2023,187.3,229
10,2023,75.7,224.6
11,2023,13.5,233.4
12,2023,27.6,242.4
1,2024,16.2,236.7
2,2024,18.1,230.9
3,2024,30.9,227.1
4,2024,41.4,225.8
5,2024,71.8,221.1
6,2024,151.1,219.6
7,2024,315.9,212.8
8,2024,162.7,207
9,2024,190,207.6
10,2024,71.3,198.8
11,2024,16.5,203.5
12,2024,3.4,201.4
