Month,Year,Rainfall,WPI
4,2012,47.5,101.6
5,2012,31.7,99.3
6,2012,117.8,104
7,2012,250.2,111.6
8,2012,262.4,114.2
9,2012,193.5,116.1
10,2012,58.7,110.8
11,2012,30.7,108.1
12,2012,11.7,106.5
1,2013,11.3,111.5
2,2013,40.1,116.3
3,2013,15.7,123.8
4,2013,30.4,124
5,2013,57.8,122.7
6,2013,219.8,119.3
7,2013,310,117.7
8,2013,254.7,113.5
9,2013,152.7,113.7
10,2013,129.4,119.9
11,2013,14,117.8
12,2013,6.7,124.9
1,2014,19.2,126.3
2,2014,27.4,126.2
3,2014,36.1,124.8
4,2014,22.2,127.6
5,2014,72.9,133
6,2014,95.4,134.1
7,2014,261.2,128.6
8,2014,237.5,123.7
9,2014,188,124.3
10,2014,60.2,128
11,2014,14.4,133.8
12,2014,10.7,137.1
1,2015,17.4,136.8
2,2015,21,140.8
3,2015,62,141.6
4,2015,69.4,141.1
5,2015,53.8,142
6,2015,192.8,159.7
7,2015,242.4,161.9
8,2015,205.2,160.1
9,2015,131.8,167.2
10,2015,42.9,181
11,2015,39.4,195.9
12,2015,15,204.5
1,2016,19.3,217.3
2,2016,22.8,221.7
3,2016,27.6,225.8
4,2016,37.4,229.4
5,2016,62.6,231.5
6,2016,168.3,251
7,2016,289.1,242.9
8,2016,256.3,196.8
9,2016,171.9,194
10,2016,76.1,194.2
11,2016,29.7,196.7
12,2016,14.9,190.2
1,2017,19,190.2
2,2017,22.6,190.6
3,2017,27.8,188.3
4,2017,37.9,168.9
5,2017,62.4,163.5
6,2017,168.1,163.3
7,2017,289.3,158.1
8,2017,256.2,154.6
9,2017,171.5,159.9
10,2017,76.3,158
11,2017,29.9,152.4
12,2017,15,154.4
1,2018,19.2,159.5
2,2018,20.1,166.8
3,2018,27.1,165.8
4,2018,40.2,166.1
5,2018,62.7,166.3
6,2018,165,166.9
7,2018,286.3,170.2
8,2018,254.3,172.7
9,2018,171.9,181.7
10,2018,77.2,182.8
11,2018,28.1,184.8
12,2018,14.1,189.3
1,2019,18.5,198.5
2,2019,33.1,201.3
3,2019,18.7,202.6
4,2019,31.5,197.3
5,2019,51.3,199.8
6,2019,113.5,197.2
7,2019,298.8,191.4
8,2019,299.9,191
9,2019,259.5,194.6
10,2019,110.1,199.3
11,2019,31.6,204.1
12,2019,19.2,203.4
1,2020,28.3,207.1
2,2020,12.1,212.4
3,2020,44.7,210.2
4,2020,42.7,209.1
5,2020,71.8,210.9
6,2020,195.6,206.6
7,2020,257.1,208.4
8,2020,327.8,213.9
9,2020,178,230.6
10,2020,78.3,238.5
11,2020,29.2,252.5
12,2020,17,253.1
1,2021,20.2,253.8
2,2021,7.6,263
3,2021,16.7,282.6
4,2021,31.1,289.9
5,2021,107.8,298.6
6,2021,182.4,309.3
7,2021,266.2,295.8
8,2021,196.3,262.4
9,2021,229.6,270.4
10,2021,100.8,279.3
11,2021,56.5,284
12,2021,20.5,282.7
1,2022,39.5,289.4
2,2022,19.1,291.2
3,2022,8.9,291.6
4,2022,38.2,291.4
5,2022,83.2,289
6,2022,152.2,283.8
7,2022,327.2,277.1
8,2022,264,269.2
9,2022,181.4,276.6
10,2022,111.8,274.1
11,2022,18.6,259.5
12,2022,13.6,257.5
1,2023,7.2,257.4
2,2023,19.7,257
3,2023,25.4,255.6
4,2023,31.4,257.1
5,2023,66.5,254.9
6,2023,250,245.5
7,2023,305.4,249.6
8,2023,293.9,248.4
9,2023,187.3,235.9
10,2023,75.7,225.3
11,2023,13.5,229.9
12,2023,27.6,229.6
1,2024,16.2,229.2
2,2024,18.1,231.4
3,2024,30.9,232.1
4,2024,41.4,232.4
5,2024,71.8,235.7
6,2024,151.1,238
7,2024,315.9,241
8,2024,162.7,236.4
9,2024,190,237.8
10,2024,71.3,248.3
11,2024,16.5,251.3
12,2024,3.4,257.6
