Month,Year,Rainfall,WPI
4,2012,47.5,102.5
5,2012,31.7,107.4
6,2012,117.8,109.7
7,2012,250.2,115.2
8,2012,262.4,119.2
9,2012,193.5,119
10,2012,58.7,118.6
11,2012,30.7,118.1
12,2012,11.7,117.4
1,2013,11.3,119.8
2,2013,40.1,120.1
3,2013,15.7,119.5
4,2013,30.4,126.1
5,2013,57.8,127.1
6,2013,219.8,130.6
7,2013,310,131.5
8,2013,254.7,132.2
9,2013,152.7,132.7
10,2013,129.4,130.9
11,2013,14,134.1
12,2013,6.7,135.6
1,2014,19.2,136.4
2,2014,27.4,136.6
3,2014,36.1,140.8
4,2014,22.2,143.3
5,2014,72.9,145.5
6,2014,95.4,146.2
7,2014,261.2,147.9
8,2014,237.5,150.2
9,2014,188,152.6
10,2014,60.2,152.1
11,2014,14.4,153.9
12,2014,10.7,157.5
1,2015,17.4,166.8
2,2015,21,166.2
3,2015,62,164.9
4,2015,69.4,165.1
5,2015,53.8,177
6,2015,192.8,186.3
7,2015,242.4,188.4
8,2015,205.2,195.6
9,2015,131.8,195.1
10,2015,42.9,197
11,2015,39.4,198.8
12,2015,15,195.5
1,2016,19.3,190.5
2,2016,22.8,184
3,2016,27.6,182.3
4,2016,37.4,186.8
5,2016,62.6,190.2
6,2016,168.3,191
7,2016,289.1,190.7
8,2016,256.3,185.6
9,2016,171.9,182
10,2016,76.1,179.2
11,2016,29.7,176.8
12,2016,14.9,169.6
1,2017,19,161.1
2,2017,22.6,156.2
3,2017,27.8,154
4,2017,37.9,155.3
5,2017,62.4,148.5
6,2017,168.1,144.5
7,2017,289.3,137.5
8,2017,256.2,136
9,2017,171.5,138.3
10,2017,76.3,133.8
11,2017,29.9,130.9
12,2017,15,130.3
1,2018,19.2,126.7
2,2018,20.1,122.1
3,2018,27.1,120.6
4,2018,40.2,120.8
5,2018,62.7,120.7
6,2018,165,117.8
7,2018,286.3,117.9
8,2018,254.3,121
9,2018,171.9,121.8
10,2018,77.2,121.7
11,2018,28.1,121.2
12,2018,14.1,124.6
1,2019,18.5,127.5
2,2019,33.1,129.5
3,2019,18.7,130.1
4,2019,31.5,131.8
5,2019,51.3,134.9
6,2019,113.5,137.1
7,2019,298.8,137.5
8,2019,299.9,137.3
9,2019,259.5,137.3
10,2019,110.1,137
11,2019,31.6,140.5
12,2019,19.2,143.2
1,2020,28.3,147.9
2,2020,12.1,147.1
3,2020,44.7,146
4,2020,42.7,149.7
5,2020,71.8,150.8
6,2020,195.6,155.1
7,2020,257.1,157.5
8,2020,327.8,158
9,2020,178,159
10,2020,78.3,162.8
11,2020,29.2,166.3
12,2020,17,163.8
1,2021,20.2,165.4
2,2021,7.6,166.3
3,2021,16.7,168.4
4,2021,31.1,171.9
5,2021,107.8,176.1
6,2021,182.4,179.6
7,2021,266.2,179.9
8,2021,196.3,184
9,2021,229.6,197.3
10,2021,100.8,203.3
11,2021,56.5,203.4
12,2021,20.5,201.7
1,2022,39.5,202.9
2,2022,19.1,204.9
3,2022,8.9,205.5
4,2022,38.2,202.8
5,2022,83.2,202.5
6,2022,152.2,200.6
7,2022,327.2,202.1
8,2022,264,204.4
9,2022,181.4,199.7
10,2022,111.8,199.8
11,2022,18.6,202.1
12,2022,13.6,199.8
1,2023,7.2,199
2,2023,19.7,196.3
3,2023,25.4,194.6
4,2023,31.4,192.1
5,2023,66.5,188.1
6,2023,250,187.7
7,2023,305.4,186.6
8,2023,293.9,186.9
9,2023,187.3,192.6
10,2023,75.7,189.5
11,2023,13.5,192.1
12,2023,27.6,189
1,2024,16.2,189.6
2,2024,18.1,189.6
3,2024,30.9,188.5
4,2024,41.4,186.3
5,2024,71.8,186.2
6,2024,151.1,189.1
7,2024,315.9,190.4
8,2024,162.7,188.4
9,2024,190,187.3
10,2024,71.3,187.5
11,2024,16.5,190
12,2024,3.4,187.4
