Month,Year,Rainfall,WPI
4,2012,47.5,103.9
5,2012,31.7,110.9
6,2012,117.8,112.7
7,2012,250.2,116.1
8,2012,262.4,118.1
9,2012,193.5,120.3
10,2012,58.7,117.8
11,2012,30.7,114.8
12,2012,11.7,114.8
1,2013,11.3,112.8
2,2013,40.1,115.7
3,2013,15.7,115.2
4,2013,30.4,119.4
5,2013,57.8,115.9
6,2013,219.8,118.9
7,2013,310,118.9
8,2013,254.7,114.6
9,2013,152.7,112.8
10,2013,129.4,112.3
11,2013,14,112.7
12,2013,6.7,112.1
1,2014,19.2,108.2
2,2014,27.4,107.1
3,2014,36.1,112
4,2014,22.2,125.4
5,2014,72.9,124.5
6,2014,95.4,93.2
7,2014,261.2,94.8
8,2014,237.5,94.1
9,2014,188,94.3
10,2014,60.2,93
11,2014,14.4,92.3
12,2014,10.7,93.4
1,2015,17.4,93.7
2,2015,21,94.8
3,2015,62,94.5
4,2015,69.4,104.2
5,2015,53.8,110.1
6,2015,192.8,108.1
7,2015,242.4,105.8
8,2015,205.2,107.4
9,2015,131.8,105.3
10,2015,42.9,105
11,2015,39.4,105.9
12,2015,15,106.4
1,2016,19.3,109
2,2016,22.8,111.1
3,2016,27.6,110.1
4,2016,37.4,108.9
5,2016,62.6,115.5
6,2016,168.3,111.8
7,2016,289.1,111.4
8,2016,256.3,112
9,2016,171.9,112.9
10,2016,76.1,113.5
11,2016,29.7,112.3
12,2016,14.9,113.9
1,2017,19,114.1
2,2017,22.6,117
3,2017,27.8,124.8
4,2017,37.9,126
5,2017,62.4,127.8
6,2017,168.1,129.3
7,2017,289.3,134.1
8,2017,256.2,139.3
9,2017,171.5,140.2
10,2017,76.3,137.2
11,2017,29.9,135.6
12,2017,15,133.2
1,2018,19.2,138.8
2,2018,20.1,139.2
3,2018,27.1,139
4,2018,40.2,137.8
5,2018,62.7,134.6
6,2018,165,137.8
7,2018,286.3,134.8
8,2018,254.3,136
9,2018,171.9,139.3
10,2018,77.2,143.5
11,2018,28.1,150.5
12,2018,14.1,155.5
1,2019,18.5,155.3
2,2019,33.1,157.5
3,2019,18.7,156.8
4,2019,31.5,167.6
5,2019,51.3,178.1
6,2019,113.5,183
7,2019,298.8,181.2
8,2019,299.9,187.2
9,2019,259.5,187.9
10,2019,110.1,194.8
11,2019,31.6,196
12,2019,19.2,196.3
1,2020,28.3,200.3
2,2020,12.1,186.7
3,2020,44.7,164.5
4,2020,42.7,155.6
5,2020,71.8,157.2
6,2020,195.6,160.2
7,2020,257.1,162.4
8,2020,327.8,162.7
9,2020,178,157.4
10,2020,78.3,161.6
11,2020,29.2,163.4
12,2020,17,164.9
1,2021,20.2,167.2
2,2021,7.6,169.4
3,2021,16.7,164.9
4,2021,31.1,177
5,2021,107.8,179.8
6,2021,182.4,181.8
7,2021,266.2,183.8
8,2021,196.3,188.4
9,2021,229.6,193.8
10,2021,100.8,193.9
11,2021,56.5,203.9
12,2021,20.5,206.4
1,2022,39.5,217.6
2,2022,19.1,209.9
3,2022,8.9,225.4
4,2022,38.2,229.6
5,2022,83.2,212.3
6,2022,152.2,195.1
7,2022,327.2,199.3
8,2022,264,203.5
9,2022,181.4,208.2
10,2022,111.8,204
11,2022,18.6,208.5
12,2022,13.6,212.9
1,2023,7.2,208.2
2,2023,19.7,197.8
3,2023,25.4,194
4,2023,31.4,181.4
5,2023,66.5,175.6
6,2023,250,176.8
7,2023,305.4,168.6
8,2023,293.9,167.8
9,2023,187.3,172.8
10,2023,75.7,165.1
11,2023,13.5,174.7
12,2023,27.6,186
1,2024,16.2,183.4
2,2024,18.1,178.8
3,2024,30.9,188.8
4,2024,41.4,182.3
5,2024,71.8,169.9
6,2024,151.1,175
7,2024,315.9,167.7
8,2024,162.7,173.3
9,2024,190,183.4
10,2024,71.3,189.1
11,2024,16.5,194.6
12,2024,3.4,196
