Month,Year,Rainfall,WPI
4,2012,47.5,104.6
5,2012,31.7,105.4
6,2012,117.8,104.4
7,2012,250.2,105.8
8,2012,262.4,116
9,2012,193.5,119.4
10,2012,58.7,117.4
11,2012,30.7,120.7
12,2012,11.7,121.7
1,2013,11.3,121.6
2,2013,40.1,123.6
3,2013,15.7,122.8
4,2013,30.4,120.1
5,2013,57.8,118.9
6,2013,219.8,121.9
7,2013,310,122.3
8,2013,254.7,123.1
9,2013,152.7,124.6
10,2013,129.4,125.7
11,2013,14,127.6
12,2013,6.7,128.6
1,2014,19.2,130
2,2014,27.4,128.8
3,2014,36.1,127.5
4,2014,22.2,123.5
5,2014,72.9,120.9
6,2014,95.4,120.4
7,2014,261.2,121.9
8,2014,237.5,122.5
9,2014,188,121.8
10,2014,60.2,122.3
11,2014,14.4,123.7
12,2014,10.7,125.8
1,2015,17.4,126.3
2,2015,21,125.9
3,2015,62,125.9
4,2015,69.4,125.1
5,2015,53.8,124.1
6,2015,192.8,122.3
7,2015,242.4,124.8
8,2015,205.2,126.1
9,2015,131.8,126.2
10,2015,42.9,128.5
11,2015,39.4,129.9
12,2015,15,131.9
1,2016,19.3,134.1
2,2016,22.8,134.1
3,2016,27.6,134.1
4,2016,37.4,132.9
5,2016,62.6,134.5
6,2016,168.3,136.5
7,2016,289.1,137.9
8,2016,256.3,139.1
9,2016,171.9,140
10,2016,76.1,140.8
11,2016,29.7,147.9
12,2016,14.9,152.3
1,2017,19,151.3
2,2017,22.6,149.3
3,2017,27.8,142.9
4,2017,37.9,141
5,2017,62.4,137.5
6,2017,168.1,136.1
7,2017,289.3,136.3
8,2017,256.2,137.1
9,2017,171.5,137.6
10,2017,76.3,138
11,2017,29.9,139.4
12,2017,15,139.4
1,2018,19.2,140.8
2,2018,20.1,140
3,2018,27.1,141.2
4,2018,40.2,140.9
5,2018,62.7,141.7
6,2018,165,143.1
7,2018,286.3,145
8,2018,254.3,148.6
9,2018,171.9,149.8
10,2018,77.2,151.1
11,2018,28.1,152.2
12,2018,14.1,152.8
1,2019,18.5,154.8
2,2019,33.1,157.2
3,2019,18.7,155.5
4,2019,31.5,151.5
5,2019,51.3,150.7
6,2019,113.5,150.8
7,2019,298.8,153.4
8,2019,299.9,156.5
9,2019,259.5,158.3
10,2019,110.1,160.4
11,2019,31.6,164.5
12,2019,19.2,165.7
1,2020,28.3,168.7
2,2020,12.1,167.3
3,2020,44.7,162.9
4,2020,42.7,161.2
5,2020,71.8,161.5
6,2020,195.6,158.5
7,2020,257.1,157.3
8,2020,327.8,154.2
9,2020,178,150
10,2020,78.3,147.4
11,2020,29.2,147.9
12,2020,17,147.3
1,2021,20.2,149.1
2,2021,7.6,149.6
3,2021,16.7,150.3
4,2021,31.1,156.1
5,2021,107.8,157.4
6,2021,182.4,155.7
7,2021,266.2,152.8
8,2021,196.3,153.9
9,2021,229.6,156.6
10,2021,100.8,159.4
11,2021,56.5,162.9
12,2021,20.5,164.1
1,2022,39.5,164.6
2,2022,19.1,166.1
3,2022,8.9,171.4
4,2022,38.2,173.3
5,2022,83.2,174.1
6,2022,152.2,171.8
7,2022,327.2,173.6
8,2022,264,180.6
9,2022,181.4,181.8
10,2022,111.8,185.3
11,2022,18.6,192.4
12,2022,13.6,198.2
1,2023,7.2,203.9
2,2023,19.7,196.8
3,2023,25.4,187.1
4,2023,31.4,186.4
5,2023,66.5,184.9
6,2023,250,187.3
7,2023,305.4,187.1
8,2023,293.9,188.3
9,2023,187.3,190.7
10,2023,75.7,194
11,2023,13.5,197.6
12,2023,27.6,200.5
12,2024,3.4,212.9
1,2024,16.2,200.1
2,2024,18.1,201.5
3,2024,30.9,201.1
4,2024,41.4,197
5,2024,71.8,196.5
6,2024,151.1,199
7,2024,315.9,200.2
8,2024,162.7,202.2
9,2024,190,205.4
10,2024,71.3,209.6
11,2024,16.5,213.8
12,2024,3.4,215.5
